英,汉
dreams,"n.梦；梦想；理想；愿望；梦想；空想；理想；美景
v.梦想；做梦；梦见；想象；梦想；想像；做梦；梦见"
apart,"adv.分开；分离；相距；不在一起
adj.(与众)不同的"
dimensional,adj.尺寸的；空间的；【数】因次的；…次(元)的
performing,"adj.表演的；演奏的；完成的；(狗等)会玩把戏的
v.“perform”的现在分词"
oblivion,n.被遗忘；湮没；无意识状态；沉睡
unstable,adj.不稳定的；易变的；变化莫测的；（行为、情绪）反复无常的
lose,v.失去；丢失；遗失；减少
works,"n.工作；著作；行为；工厂
v.有效；运转；制造；成功"
scared,"adj.害怕；恐惧；担心；畏惧
v.“scare”的过去式和过去分词"
somehow,adv.以某种方式（或方法）；由于某种未知的原因；不知为什么；不知怎么地
immortal,"adj.长生的；永世的；不朽的；流芳百世的
n.不朽的人物；名垂千古的人物；神；永生不灭者"
thinks,"v.认为；想；思考；以为
n.想法；念头；〈方,口〉思考
adj.思想(方面)的；供思考的"
happens,v.发生；〈口〉出现；偶然…
gosh,int.啊呀
literally,adv.字面上；按字面；确实地
normal,"n.常态；通常标准；一般水平
adj.典型的；正常的；一般的；精神正常的"
overly,adv.过于；很；十分
ice,"n.冰；冰块；冰场；溜冰场
v.在（糕饼上）加糖霜"
everything,pron.一切；所有事物；每件事；形势
asking,"n.问；请求
v.“ask”的现在分词"
eliminate,v.消除；消灭；清除；淘汰
headlights,na.同“headlamp”；(机翼上的)雷达天线
measuring,"n.测量；测量点
adj.测量的"
standing,"n.地位；身份；级别；名声
adj.长期存在的；永久性的；常设的；站着进行的
v.“stand”的现在分词"
ripped,"v.裂开；猛地扯开；突然拉开；扯裂；撕开；解(木材)；凿开(洞穴等)
n.（织物、纸张等）撕开的大口子；巨澜；清管器；刮刀；劣马"
eating,"n.吃；饮食
adj.食用的；可生吃的；腐蚀的
v.“eat”的现在分词"
rum,"adj.奇特的；古怪的
n.朗姆酒（一种用甘蔗汁酿制的烈性酒）；一杯朗姆酒"
turds,n.〈习语〉粪块
costumes,"n.服装；尤指在某一特定历史时期或特定地点所穿着的；演出服；戏服
v.给…提供服装"
peed,"n.小便；撒尿
v.撒尿"
broken,"adj.破损的；伤残的；残缺的；出了毛病的
v.“break”的过去分词"
phew,"int.哦（表示热、累或宽慰）
v.咂(舌)"
fractured,"n.裂缝；断裂；【医学】挫伤；【矿物】断口
v.(使)破裂；(使)折断；(使)断裂；使破坏"
stone,"n.石；结石；宝石；岩石
v.向…投石头；以石掷向；去除(水果的)硬核
adj.石制的
adv.石一般的"
yelling,"v.叫喊；喊加油；(突然)大笑；喊出
n.大声叫喊声；〈美〉(拉拉队鼓动运动员的)呼喊声"
universe,n.宇宙；天地万物；万象；（已知宇宙以外的）宇宙
certainty,n.确定性；确实；确信；确实的事
months,n.(岁月的)月；一个月的时间
favorite,"n.受宠信者；受人特别喜爱的人[物]；〈美〉党内有声望的政治家
adj.中意的；心爱的"
shards,n.碎陶瓷片；薄硬壳；【动】(昆虫的)甲；鞘翅
sakes,n.缘故；〈外〉日本清酒
diabolical,adj.糟糕透顶的；烦人的；讨厌的；道德败坏的
equally,adv.平等地；同样地；相等地；平均地
unsustainable,adj.不能持续的；无法维持的
pussy,n.〈非正式〉猫咪；〈侮辱〉阴道；〈侮辱〉娘娘腔
chris,n.克里斯；克莉丝；【女名】女子名；【男名】男子名
female,"n.女子；雌性动物；雌性植物；雌株
adj.女的；女性的；雌的；母的"
lesson,"n.教训；课程；功课；课堂
v.教训；教课"
pointless,adj.无意义的；无目标的；不值得做的
aren,web.阿朗；阿伦韦斯卡省；雅伦
asses,n.臀部；蠢驴；野驴；表示催促
cats,"abbr. catalogues （复数）商（产）品目录，说明书；
n. 猫（ cat的名词复数 ）； 恶语伤人的女人； 猫科动物； [美国俚语]爵士乐迷；"
decisive,adj.决定性的；关键的；坚决的；果断的
hysterical,adj.歇斯底里的；情绪狂暴不可抑止的；极其可笑的
head,"n.头；头部；头脑；负责人
v.主管；领导；朝（某方向）行进；位于排行之首
adj.头的；主要的"
himself,pron.自己；强调句中的男性主语或宾语
statute,n.法规；法令；章程；条例
brand,"n.品牌；类型；烙印（尤指农场牲畜身上表示所属的印记）
v.（尤指不公正地）丑化（某人）；给（牲畜）打烙印"
omniscient,"adj.无所不知的；全知全能的；博闻广识的
n.上帝"
hi,"int.〈非正式〉嗨
abbr.夏威夷群岛的书面缩写(=high intensity)高强度"
learned,"adj.有学问的；知识渊博的；博学的；（为）学者的
v.“learn”的过去式和过去分词"
trimester,n.妊娠的三月期（医学上将妊娠期分为三期，每一期为三个月）
line,"n.线；线路；直线；路线
v.排队；衬里；填塞；交尾"
costco,web.好市多；好事多；量贩店好市多
longer,"adj.（长度或距离）长的；（询问或谈论长度或距离）长；长时间的；长久的
n.(服装的)长尺寸；长裤；【语】长母音；长音节
adv.长期地；长久地；（在某一时间或事件之前或以后）很久地
v.（尤指对看似不会很快发生的事）渴望"
made,"adj.…制的；拼成的；虚构的；体格…的
v.“make”的过去式和过去分词"
romantic,"adj.浪漫的；爱情的；情爱的；多情的
n.浪漫的人；耽于幻想的人；浪漫主义作家（或音乐家、艺术家）"
mrs,abbr.夫人
ruined,"adj.毁坏的；严重受损的
v.“ruin”的过去分词和过去式"
crystal,"n.水晶；结晶体；【化】晶体；水晶玻璃(制品)
adj.晶莹的；如水晶般的；清楚的；显而易见的"
un,"n.【组】联合国
pron.等于 one"
veterinarian,"adj.同“veterinary”
n.兽医"
latch,"n.门闩；锁存；插销；卡齿
v.获得；抓住；用插销扣上(门等)；占有"
minutes,"n.分；备忘录；一瞬间；一会儿工夫
v.记录；精确地测定…的时间
adj.细小的；琐碎的；极少的；精密的"
dots,"n.点；小点；小圆点
v.点缀；在（字母上方、字母或单词旁边）加点；星罗棋布于；遍布
adj.一瘸一拐的[地]"
later,"adj.晚；后期；迟；迟到
adv.晚；迟；晚期；新近"
classic,"n.名著；优秀的典范
adj.最优秀的；第一流的；有代表性的；典型的"
certain,"adj.肯定；确定；确信；无疑
pron.（不提及人或事物的名称时用）某些"
deer,n.【动】鹿
an,art.一(件；个；场…)
single,"v.选拔；【棒】作一垒手；(马)单步行进
adj.仅有一个的；单一的；单个的；特指某人或事物
n.单程票；单曲（常指流行音乐）；单曲激光唱片；（旅馆等的）单人房间"
exist,v.存在；生存；实际上有
necks,"n.脖子；(衣)领；颈肉(尤指羊颈肉)；(器物的)颈状部
v.拥抱；割颈杀死(家禽等)；缩小…的口径使成颈状"
explains,v.解释；说明；阐明；说明…的理由
knows,"v.知道；了解；认识；懂得
n.〈口〉知晓"
again,adv.再一次；又一次；再说；复原
clingy,adj.紧贴的
floor,"n.地板；地面；楼层；底价
v.使惊奇；使困惑；（尤指体育运动中）击倒；给…安装地板"
idiot,n.白痴；蠢人；笨蛋
tip,"n.头儿；小账；小窍门；垃圾场
v.翻倒；给…小费；使倾斜；指出谁会获胜"
reality,n.现实；事实；实际情况；实际经历
venison,n.鹿肉
boom,"n.繁荣；吊杆；（某种体育运动、音乐等）突然风靡的时期；帆桁
v.激增；繁荣昌盛；轰鸣；轰响
adj.〈美〉猛涨起来的"
incredibly,adv.非常；极其；难以置信地；不可思议地
realize,v.〈正式〉实现；意识到；领悟；理解
conclusion,n.结论；结束；结果；结尾
impossibilities,n.不可能；不可能的事
dies,"v.死；死亡；消失；消亡
n.模具；冲模；压模"
welcome,"n.欢迎；迎接；接待；接受
int.欢迎
v.欣然接受；迎新；（打招呼）欢迎（某人的到来）；欢迎（新来的人）
adj.令人愉快的；受欢迎的；受款待的；（表示乐于让某人做某事）可随意"
inherently,adv.内在；固有；本来；从根本上说
stag,"n.雄鹿
v.不带女伴单身赴会；不带女伴参加舞会；盯梢；告发
adj.全是男人(集会等)的；无异性伴侣的"
rolling,"n.轧；滚动；旋转；横摇
adj.起伏的；规则的；周而复始的
v.“roll”的现在分词"
weekend,"n.周末；星期六和星期日；星期六和星期日（或略长一点的）休息时间
v.度周末
adj.周末的"
died,"v.死；死亡；消失；消亡
n.模具；冲模；压模"
ricks,"n.〈英〉禾堆；堆成草堆；【男名】男子名
v.〈英〉同“wrick”"
ago,adv.（与动词简单过去时连用）以前
happening,"n.事件；发生的事情（常指不寻常的）；即兴艺术表演
adj.热闹的；时髦的
v.“happen”的现在分词"
assume,v.假设；假定；认为；假装
age,"n.年龄；年龄段；时期；老年
v.变老；使显老；使变老；使苍老"
together,"adv.一起；在一起；共同；同时
adj.自信而妥实的"
jacket,"n.夹克衫；短上衣；（书籍通常带有图案或画面的）护封
v.给…穿短上衣；给…盖上罩子[套子等]；给…包上护封；〈口〉打"
bribe,"v.贿赂；向（某人）行贿
n.贿赂"
reserve,"v.保留；预订；预留；拥有
n.保留；自然保护区；预备队；矜持
adj.后备的"
chaim,web.生活；哈伊姆；查姆
splashing,"n.溅；溅起的泥(水)；水的拍激声；玩水
v.溅；泼污[湿]；趟水走；溅着水[泥]走"
lack,"v.缺乏；没有；不足；短缺
n.缺乏；短缺；匮乏"
alien,"n.外国人；外侨；外星生物
adj.格格不入；陌生的；不熟悉；外国的
v.〈诗〉疏远；离间；【法】(所有权的)让渡"
mile,"n.英里；很远的距离；一英里赛跑
adv.表示强调"
battle,"n.战斗；战役；战争；斗争
v.斗争；竞争；抗争；奋斗"
psycho,n.精神病患者；精神病人
milk,"n.乳汁；乳液；（牛或羊等的）奶
v.挤奶；趁机牟利；捞一把；捞好处"
bureaucrats,n.官僚；官僚主义者；官僚派头的人
sweetest,"n.糖果；甜点；（称呼亲爱的人）亲爱的；糖果；〈美口〉同“sweet potato”；甜味；好吃的东西
adj.含糖的；甜的；香的；芳香的；甜(蜜)的；滋味好的；芳香的；醇美的"
th,web.钍(Thorium)；酪氨酸羟化酶(tyrosine hydroxylase)；甲状腺激素(thyroid hormone)
under,"prep.根据；不足；小于；在（或到、通过）…下面
adv.小于；在下面；在水下；少于
adj.较低的；下面的"
smile,"v.微笑；微笑着说；微笑地表示；现出（某种）笑容
n.微笑；笑容"
federation,n.联盟；联邦；（俱乐部、工会等的）联合会；同盟
returning,"v.返回；恢复；归还；再来
n.回归；归来；归国；归还"
very,"adv.非常；十足；完全同样；完全同一
adj.同一的；（强调极限的地点或时间）最…的；甚至于
n.维利"
dessert,n.甜食；甜品；餐后甜点
continues,v.继续；延续；延伸；依旧
kitty,n.猫咪；小猫；共同凑集的一笔钱；全部赌注
fat,"n.脂肪；肥肉；（烹调用的）动植物油；（人体摄入的动植物）脂肪
adj.肥的；肥胖的；厚的；宽大的
v.养肥 (out up)；用油脂处理(皮革)；在…加入脂肪；长肥"
melding,v.〈美〉吞没；合并
candid,adj.坦率的；坦诚的；直言不讳的；（照片）偷拍的
rattling,"adv.很；非常
adj.格格地[卡嗒卡嗒]响的；快活的；迅速的；〈口〉巨大的
v.“rattle”的现在分词"
confetti,n.（在婚礼或美国其他特殊活动中撒的）五彩纸屑
word,"n.词；单词；字；消息
v.措辞；用词
int.说得对"
blast,"n.爆炸；冲击波；狂欢；突如其来的强劲气流
v.爆破；把…炸成碎片；轰鸣（尤指音乐）；严厉批评
int.（恼怒时说）该死"
special,"n.特别节目；特制品；特价(处理)
adj.不寻常的；特定的；特别的；很重要的"
four,"num.四
n.四个人（或事物）的一组；得四分的一击；四人赛艇的全体成员"
school,"n.上学；学院；学派；大学
v.教育；训练；使学会；培养"
proscribed,v.禁止；使失去法律保护；放逐；排斥
die,"v.死；死亡；消失；消亡
n.模具；冲模；压模"
primate,n.灵长类；灵长目动物；大主教；总主教
list,"n.表；名单；倾斜(性)；布条
v.登记；(船等)倾斜；列入名单[簿]中；〔诗〕听"
large,"adj.大的；大规模的；大量的；（服装、食物、日用品等）大型号的
adv.大；详细地；夸大地；【航】顺风地
n.大"
p,abbr.便士；页；轻柔地；安静地
mwah,int.（亲吻脸颊的声音）吧
says,"v.说；显示；告诉；讲
int.啧啧；我说
n.决定权；发言权"
destroys,v.破坏；消灭；摧残；打破(希望、计划)
weddings,n.婚礼；婚宴；结婚纪念日；结合
bacon,n.熏猪肉；咸猪肉
rivers,n.河流
tires,"n.轮胎；车胎；〈旧〉女用头饰
v.厌倦；疲劳；疲倦；精疲力竭"
furry,adj.覆盖毛皮的；毛皮似的；毛一般的
subtle,adj.不易察觉的；不明显的；微妙的；机智的
earliness,n.早
spaghetti,n.意大利细面条
chuckle,"n.吃吃的笑；(母鸡的)咯咯声
v.低声轻笑；轻声地笑"
dial,"n.表盘；(钟表等的)针盘；(仪表等的)标度盘；仪表盘
v.拨（电话号码）；用矿用罗盘测量；调；用标度测量"
organisms,n.微生物；有机体；组织；生物(体)
deeply,adv.非常；很；极其；强烈地
section,"n.节；部分；段；科
v.切开；切断；做（动物或植物组织的）切片"
children,n.儿童；子孙；后裔；(空想等的)产物
version,n.描述；变体；变种；型式
goes,"v.去；走；流逝；过去
linkv.变为
n.（游戏或活动中）轮到的机会；一番努力；精力；活力
adj.运行良好的；可以开始的；【宇】可随时发射的
abbr.(=General Orders)【军】一般命令；卫兵守则
int.(赛跑口令)跑"
ongoing,"n.发展；行为；(奇怪的或不适当的)处置
adj.持续存在的；仍在进行的；不断发展的"
bird,"n.鸟；禽；姑娘；妞
abbr.(=International Bank for Reconstruction and Development)(联合国)国际复兴开发银行
v.去观鸟"
meld,v.结合
womb,n.子宫；发源地；摇篮
dwarf,"n.侏儒；矮子；（神话中会魔法的）小矮人
v.使显得矮小；使相形见绌
adj.矮小的"
men,n.man（男人、人类）的复数形式
forgive,v.原谅；宽恕；请原谅；对不起
water,"n.水；水域；河；海域
v.灌溉；给…浇水；充满眼泪；流口水"
met,abbr.“meet”的过去式和过去分词
pate,n.头顶；光顶
yards,"n.码；院子；场地；(学校的)运动场
v.把(家畜)赶进栏里"
others,"adj.别的；不同的 (than； from)；其余的；另一个的
pron.别的人；另外一个；其他的东西；其余的一个
adv.另样地；用别的方法"
roaring,"n.咆哮；【兽医】(马的)喘鸣症
adj.咆哮的；呼啸的；轰鸣的；熊熊燃烧的
v.“roar”的现在分词"
kidnapped,v.(〔英国〕-pp-)诱拐(小孩等)；绑架
sender,n.发送人；邮寄人
screech,"v.尖叫；发出尖锐
n.尖叫声"
descended,v.下；下降；突然袭击；传下
advertising,"n.做广告；广告业；广告活动
adj.广告(业)的
v.“advertise”的现在分词"
milky,adj.奶制的；含奶多的；奶的；像奶的
options,n.选择；可选择的东西
control,"n.控制权；控制（或操纵）能力；限制；限定
v.指挥；控制；掌管；支配"
teenage,adj.十来岁的；青少年的
africa,n.非洲
crazy,"n.〈非正式〉疯子
adj.(发)疯的；神经病的；疯癫的；不理智的"
bro,"abbr.(=brother)兄弟；老兄
n.伙计；兄（或弟）"
gosh,int.啊呀
everybody,pron.人人
fed,"v.“feed”的过去式和过去分词；过饱吃饱；极度厌倦
n.联邦调查局人员；联邦政府(工作人员)"
criminals,"n.罪犯
adj.犯罪的；刑事上的；蛮不讲理的"
metaphor,n.隐喻；暗喻
cawing,"v.(乌鸦)哇哇地叫；(人)乌鸦似地叫
n.乌鸦的叫声"
live,"v.住；居住；生存；过日子
adj.活的；现场直播的；实况转播的；现场演出的
adv.在现场直播；在现场表演（或录制）"
camera,n.摄像机；照相机；摄影机
loving,"adj.爱的；充满爱的；爱好…的；钟爱…的
v.“love”的现在分词"
confiscate,v.（尤指作为惩罚）没收
oof,"int.哎哟
n.常用于英式俚语"
flap,"v.摆动；振（翅）；忧虑；激动
n.（附于某物的）片状下垂物；拍击；忧虑；困惑"
mr,na.…先生
oscar,n.奥斯卡；〈美〉【影视】奥斯卡金像奖；〈比喻〉奖(章)；钱
excuse,"n.借口；理由；辩解；（正当的）理由
v.原谅；宽恕；为…辩解（或找理由）；准许…离开"
basically,adv.基本上；大体上；〈口〉主要地
sharply,adv.急剧地；严厉地；明显地；尖刻地
known,"adj.知名的；出了名的；已知的
v.“know”的过去分词"
must,"auxv.必须；一定；一定要；只好
adj.〈口〉绝对需要的；(特指象因性欲冲动而)狂暴的
n.必须做（或看、买等）的事"
keeping,"n.保持；保管；饲养；协调
adj.适于贮藏的；坚贞的
v.“keep”的现在分词"
bartender,n.酒保；酒吧服务员；调酒师
room,"n.房间；室；空间；客房
v.租房；合住"
f,abbr.女的；女性的；阴性的；（演奏或歌唱）强
mm,"abbr.毫米
n.毫米
int.嗯；唔；表示食物非常好吃时发出的声音"
mo,"abbr.(=Monday)(=molybdenum)【化】钼
n.顷刻；瞬间"
sucks,"v.吮吸；吸进；吸收(水分,知识等)
n.咂；吃奶；卷入；一杯"
worm,"n.蠕虫；蠕虫病毒；（人或动物体内的）寄生虫；肠虫
v.曲折行进（尤指通过狭窄或拥挤的地方）；给（动物）驱肠虫
abbr.(=Write-Once Read Multiple)【计】一写多读光盘"
worn,"adj.用坏的；用旧的；磨薄的；疲惫的
v.“wear”的过去分词"
nine,"n.九岁；九点钟；棒球队；九点(的牌)
num.九"
freedom,n.（指权利）自由；（指状态）自由；自由民地位（不是囚犯或奴隶）
smurf,"n.【影视】蓝精灵；【IT】拒绝服务攻击的一种；〈俚〉洗黑钱的人
v.把非法收入通过拆分等手段变成合法的"
meatball,n.肉丸
laughter,n.笑声
history,n.历史；历史学；经历；历史（指过去发生的所有事情）
beautiful,adj.美丽的；风和日丽的；出色的
heart,"n.心；心脏；内心；核心
v.将…记在心中"
vodka,n.伏特加（原产于俄国的烈性酒）；一杯伏特加酒
bffs,web.biochemical failure-free survival; 死党; 灌水先锋队-成员
agent,n.经纪人；（演员、音乐家、运动员、作家等的）代理人
honey,n.蜂蜜；亲爱的；宝贝；蜜糖
sense,"n.意识；意义；理智；判断力
v.意识到；感觉到；觉察出；检测出"
wonderful,adj.精彩的；绝妙的；令人高兴的；使人愉快的
species,n.种
guarantee,"v.保证；保障；担保；确保
n.保证；担保；抵押品；保证金"
ceremony,n.仪式；典礼；礼仪；礼节
birdman,na.飞行员；飞机乘客；捕鸟者；鸟类学家
lame,"adj.瘸的；跛的；站不住脚的；无说服力的
n.(金属)薄板；(古代护身甲上的)重叠金属片
v.使残废；跛行"
hoo,web.呼；胡；吼
six,"num.六
n.〈英〉六便士；六先令；六点的纸牌；(骰子的)六点"
nuts,"adj.疯狂；执着；迷恋；狂热
int.不见得；热爱着；狂热于；精通…的
n.“nut”的复数"
damage,"v.损害；伤害；破坏；毁坏
n.损害；伤害；破坏；（法院判定的）损害赔偿金"
far,"adv.远；远远；大大；久
adj.较远的；远端的；远方的；遥远的"
testicle,n.睾丸
narc,n.缉毒警察
staying,"v.停留；逗留；持久；保持下去
n.停留；遏制；妨碍；延缓"
galactic,adj.银河的；星系的
shiiit,
may,"modalv.可能；（转折前所述情况属实）也许；（征求同意或表示允许）可以
n.山楂花"
advice,n.建议；意见；忠告；劝告
granddaughter,n.（外）孙女
aaaah,web.修改歌词
adventure,"n.冒险；奇遇；经历；冒险游戏
v.探险；以…冒险；大胆进行；闯"
waves,"abbr.〈美,旧(=Women Accepted for Volunteer Emergency Service)(海军)妇女预备队
n.“wave”的复数
v.“wave”的第三人称单数"
pat,"adv.合适；及时地；立即地；流利地
n.拍打；一小块黄油
adj.过于简易的；不自然的；油滑的
v.（喜爱地）轻拍"
disagree,v.不同意；不符；持不同意见；有分歧
fo,abbr.【军】同“field officer”
natural,"adj.自然的；天然的；正常的；意料之中的
n.有天赋的人；擅长做某事的人；本位号（书写符号为 L）"
third,"num.第三；三分之一(的)
ordnumber.第三
n.三分之一；三等学位（英国大学中低于平均水平的学位）
adv.坐三等车(舱)"
whenever,"conj.每当；每次；无论何时；在任何…的时候
adv.（用于问句，表示惊奇）究竟什么时候"
wins,"v.赢；得胜；成功
n.〈口〉胜利"
gulps,"v.吞；狼吞虎咽地吃；忍住(眼泪等)；吞下
n.吞咽；一口吞下的量"
futures,"n.未来；前途；【商】期货；未婚妻
adj.将来的；【语】将来时的"
appreciate,v.欣赏；感谢；感激；升值
jail,"n.监狱；监禁；牢
v.监禁；关入监狱；把…下牢"
pleasure,"n.快乐；高兴；愉快；乐事
v.高兴；(使)高兴；(使)欢喜；(使)满意"
egg,"n.卵子；卵细胞；（鸟类的）蛋；（鱼、昆虫等的）卵
v.煽动；用蛋制作(食物)；向人扔鸡蛋"
wind,"n.风；气流；（随食物或饮料）吞下的气；胃气
v.缠绕；卷绕；蜿蜒；使喘大气"
longer,"adj.（长度或距离）长的；（询问或谈论长度或距离）长；长时间的；长久的
n.(服装的)长尺寸；长裤；【语】长母音；长音节
adv.长期地；长久地；（在某一时间或事件之前或以后）很久地
v.（尤指对看似不会很快发生的事）渴望"
brain,"n.脑；脑力；智力；（供食用的）动物脑髓
v.猛击…的脑袋致死"
attitude,n.态度；看法；我行我素的做派；姿势
terrace,"n.梯田；阶地；阳台；排屋
v.使成台地"
committed,"adj.忠诚的
v.commit的过去式和过去分词"
mentioned,v.“mention”的过去式和过去分词
birds,"n.鸟；伯德；姑娘；人
v.捕鸟；在野外观察识别野鸟
abbr.(=International Bank for Reconstruction and Development)(联合国)国际复兴开发银行"
vite,web.虚拟仪器测试开发环境(Virtual Instrument Test Environment)；急速地；奈氏力斯小麦胚芽油软胶囊
bunch,"n.束；串；扎；大量
v.成皱褶"
group,"n.组；集团；群；类
v.成组；将…分类；把…分组"
pray,"v.祈祷；祷告；恳求；乞求
adv.请；〈旧〉请问"
actually,adv.事实上；竟然；（礼貌地纠正他人）实际上
cocksquanches,
van,"n.客货车；厢式送货车；面包车（通常为 12 座左右）
v.选(矿)；用车搬运(货物)
prep.〈外〉同“from”"
total,"adj.总的；总计的；全体的；全部的
v.总数达；共计；把…加起来；计算…的总和
n.总数；总额；合计；总计"
bye,"int.再见；再会
n.轮空（参赛者无对手而自动进入下一轮比赛）"
gromflamites,
visiting,"adj.（指教授或讲师）客座的
v.“visit”的现在分词"
rsvp,"abbr.〈正式(=reply, if you please)敬请回复"
burping,"n.〈美俚〉打嗝
v.(用拍背或摩背的方法)使(婴儿)打嗝"
wouldn,
sucking,"adj.吮吸的；没有断奶的
v.“suck”的现在分词"
practice,"n.实践；惯例；训练；习惯
v.〈美〉同“practise”"
uhh,web.她(Uh Huh Her)；噢；拿好
break,"n.中断；休息；破裂；机会
v.中断；破坏；碎；打断"
half,"n.一半；（比赛、音乐会等的）半场；（啤酒等饮料的）半品脱
adv.半；半数；绝大部分（时间、乐趣、麻烦等）；到一半程度
adj.一半的；一部分的；不完全的"
hunted,"adj.惴惴不安的；惊恐万分的
v.“hunt”的过去分词和过去式"
tourism,n.旅游业；观光业
realize,v.〈正式〉实现；意识到；领悟；理解
pregnant,adj.妊娠的；怀孕的；饱含；充溢着
slide,"v.（使）滑行；（使）快捷而悄声地移动；逐渐降低；贬值
n.降低；跌落；衰落；滑动
adj.滑动的；不稳定的"
rising,"adj.上涨的；腾贵的；增大的；涨水的
prep.(年龄)将近…的；〈美口〉(数量)不下…的；…以上的
n.起义；叛乱
v.“rise”的现在分词"
went,v.“go”的过去式；〈古〉“wend”的过去式
friendship,n.友谊；友情；朋友关系；友好
billion,"n.〈美、法〉十亿；〈英、德〉万亿；无数
adj.〈美、法〉十亿的；〈英、德〉万亿的；无数的"
crimes,"n.犯罪；罪恶；〈口〉蠢事；〈俚〉坏事
v.指控犯罪；判定犯罪；处罚军事犯"
happen,"v.发生；出现；向对方表示异议或不悦等
linkv.碰巧；恰好"
whooshing,"v.(物件在空气中飞速移动)发出嘶嘶声[嘘嘘声]；发嘶嘶声飞过
int.嘶
n.嘶声"
ring,"n.戒指；指环；环状物；圈形的东西
v.包围；环绕；给…戴上金属环（以便将来辨认）；绕…画圆"
witness,"n.证人；目击者；见证人；连署人
v.见证；当场看到；是发生…的地点（或时间、组织等）"
squanch,
surrounded,"v.环绕；【军】包围
n.围猎；外围物；铺在地毯周围的东西"
fellows,"n.同伴；同事；家伙；某个人
adj.同伴的；同在一处的；同道的"
mess,"n.混乱；餐厅；杂乱；肮脏
v.使不整洁；弄脏；弄乱；随地便溺"
mate,"n.伙伴，同事；老兄，老弟（工人、水手间的亲密称呼）；配偶（男女任何一方）
v.(使)交配；(使)紧密配合；【象棋】逼将，将军"
dominated,v.控制；统治；优于；高出
cause,"n.原因；事业；病因；理由
v.导致；使；引起；产生"
ri,na.“R.I.”的变体
pun,"n.双关语
v.使用双关语"
burps,"n.〈美俚〉打嗝
v.(用拍背或摩背的方法)使(婴儿)打嗝"
dirt,n.污垢；泥；〈非正式〉丑闻
monotone,"n.【语言学】单调音；(颜色,文体等的)单调；单调乏味
adj.【语言学】单调音的；(颜色,文体等的)单调的
v.单调地读[说,唱]"
eternal,adj.不朽的；永久的；永恒的；无休止的
fugitive,"n.逃亡者；逃跑者；亡命者
adj.逃亡的；逃跑的；短暂的；易逝的"
quite,adv.很；相当；非常；完全
murmur,"n.低语；咕哝；喃喃声；嘟囔
v.低语；喃喃细语；连续发出低沉的声音；（私下）发怨言"
imagine,v.想；设想；想像；认为
networking,"n.人际关系网
v.“network”的现在分词"
inhales,"v.吸入；喝(咖啡,汤等)；吸气"
couldn,
language,n.语言；言语；说话；某种类型的言语（或语言）
ministry,n.（政府的）部；（尤指基督教新教的）全体牧师；神职；牧师职位
days,n.日；时代；白天；节日
turn,"v.转向；转身；翻；转弯
n.转向；转变；转动；旋动
linkv.成为；超过（某一年龄或时间）"
pepperoni,n.意大利辣肉肠
south,"n.南；南方；南部；美国南方各州
adv.向南；朝南；…以南；在…之南
adj.南方的；向南的；南部的；南风的
v.【天】(天体)向南走；过南北线；转向南方"
blood,"n.血；血统；有…类型的血的；家世
v.让（新人）初试"
sanchez,web.桑切斯；桑切兹；桑显士
already,adv.已经；到现在还；这么早就；用于描述一个已经存在的糟糕情况时
jesus,na.耶稣基督
hook,"n.钩；挂钩；鱼钩；钓钩
v.挂住；箍住；钓（鱼）；打曲线球"
wasn,
vote,"n.投票；表决；选举；选票
v.选举；提议；选出；建议"
sounds,"n.声音；发音；音响；噪音
v.发音；响；宣告；鸣响
adj.正确的；合法的；见解正确的；合逻辑的
adv.充分地"
open,"v.打开；开放；开启；张开
adj.开放；营业；坦诚；开放的
n.公开；户外；野外；旷野"
birdperson,web.翼人
unknown,"n.未知数；未知的地方（或事物）；无名者；不出名的人
adj.未知的；不详的；未被确认的；不出名的"
least,"adv.最小；最少；微不足道；最小的
n.最小
adj.最小的；最不重要的；(动,植物)最小种类的；〈美方〉年纪最小的"
cats,"abbr. catalogues （复数）商（产）品目录，说明书；
n. 猫（ cat的名词复数 ）； 恶语伤人的女人； 猫科动物； [美国俚语]爵士乐迷；"
hypothetical,adj.假设的；假定的
white,"adj.白的；白色的；白种人的；白人的
n.白色；雪白；乳白；白种人"
annnd,web.共和
exploring,"v. 探索；探测；探险（explore的ing形式）
adj. 探索的，探测的；扫描"
courier,n.（递送包裹或重要文件的）信使；（旅游公司的）导游
season,"n.季节；旺季；雨季；（一部戏剧在一地的）演出期
v.加调料调味；加作料"
nobody,"n.小人物；无足轻重的人
pron.没人；无人"
cops,"v.遭受；忍受；注意到
n.警察"
cereal,"n.谷物；谷类植物；（常加牛奶作早餐用的）谷类食物
adj.谷类制成的"
believe,v.相信；认定；认为真实；把（某事）当真
compliments,"v.恭维；祝贺；向…问候[致敬]；赠呈
n.问候；恭维话；敬意；慰劳品"
slack,"adj.不紧的；松弛的；萧条的；冷清的
adv.松弛地；缓慢地；无力地；不充分地
n.（绳索的）松弛部分；闲置部分；煤屑；煤末
v.懈怠；怠惰；偷懒"
tavern,n.酒馆；小旅店；客栈
gotten,v.get(得到）的过去分词
require,v.需要；依靠；依赖；使做（某事）
bride,n.新娘
marriage,n.婚姻；结婚；婚礼；婚姻生活
speaking,"n.谈话；语言；传说
adj.说话的；逼真的；雄辩的
v.“speak”的现在分词"
